Sample_ID,UMAP_1,UMAP_2,leiden_clusters
TCGA-A8-A0A7-01,3.3248453,9.816895,1
TCGA-A8-A07G-01,1.7979099,11.202085,2
TCGA-A8-A08R-01,2.8089836,6.2701664,3
TCGA-A8-A06Y-01,2.4602404,13.785095,0
TCGA-A8-A08B-01,4.3272967,11.029689,1
TCGA-A2-A04T-01,3.3489559,6.1298556,3
TCGA-A2-A0EQ-01,3.7520072,9.606364,1
TCGA-A2-A0CQ-01,1.7794768,14.386774,0
TCGA-BH-A0EB-01,1.464211,12.439243,0
TCGA-A2-A04P-01,4.110037,8.09677,3
TCGA-BH-A0E7-01,2.649108,13.864242,0
TCGA-A8-A08T-01,1.2189088,13.678572,0
TCGA-A8-A08G-01,4.8224044,13.140554,0
TCGA-A8-A09M-01,4.097909,12.876924,0
TCGA-A8-A0A4-01,0.9453684,12.690232,0
TCGA-BH-A0BV-01,3.2241604,13.276738,0
TCGA-AN-A04D-01,4.2737684,6.158798,3
TCGA-A2-A0D2-01,3.4794095,6.6299396,3
TCGA-B6-A0IC-01,2.8712425,14.85259,0
TCGA-A8-A06U-01,4.658471,11.520573,1
TCGA-AN-A0FD-01,2.70923,12.167675,1
TCGA-A7-A0CE-01,4.162539,6.4590526,3
TCGA-A2-A0CX-01,3.4907215,9.926803,1
TCGA-A2-A04Q-01,2.8331234,7.736236,3
TCGA-A2-A0CM-01,2.9323413,7.0817723,3
TCGA-A8-A081-01,5.1468954,11.324992,1
TCGA-A8-A09A-01,3.2750373,12.069726,1
TCGA-A8-A09X-01,3.832623,9.779703,1
TCGA-A8-A07W-01,4.263421,11.901344,1
TCGA-A2-A0ER-01,3.4249017,14.265926,0
TCGA-AN-A04A-01,2.7234073,11.809958,1
TCGA-A8-A06T-01,3.699192,13.6151,0
TCGA-A8-A07Z-01,3.2826164,13.68412,0
TCGA-A8-A08X-01,3.3899746,9.405552,1
TCGA-A8-A0AB-01,1.560848,13.7287245,0
TCGA-BH-A0DZ-01,3.1844544,11.221331,1
TCGA-AN-A0FV-01,3.587043,10.801983,1
TCGA-B6-A0IG-01,3.7977586,11.323304,1
TCGA-A8-A09I-01,4.425897,11.129683,1
TCGA-AN-A0FG-01,4.6644163,9.720642,1
TCGA-B6-A0I6-01,3.6292684,5.938217,3
TCGA-AN-A0FY-01,2.6877232,13.094804,0
TCGA-A8-A082-01,3.750811,13.936122,0
TCGA-AO-A0J8-01,1.1577613,13.266845,0
TCGA-A8-A092-01,4.810048,11.599012,1
TCGA-AO-A0J7-01,3.3912234,13.862452,0
TCGA-A8-A09V-01,1.6516349,13.600164,0
TCGA-A8-A08S-01,3.233252,13.39979,0
TCGA-AO-A0J2-01,3.9257097,10.138063,1
TCGA-AO-A0J6-01,3.2047963,7.1124845,3
TCGA-BH-A0AY-01,1.2598623,10.745967,2
TCGA-A8-A07S-01,2.1855023,14.175122,0
TCGA-AN-A0FS-01,0.9642475,12.602529,0
TCGA-B6-A0I5-01,4.7055163,9.36028,1
TCGA-A8-A083-01,2.3134532,14.65545,0
TCGA-AN-A049-01,3.216841,12.686641,0
TCGA-AO-A0J9-01,4.397157,9.33938,1
TCGA-B6-A0IA-01,2.4380734,14.320438,0
TCGA-A7-A0DC-01,4.0948386,14.583639,0
TCGA-AN-A0FL-01,4.26218,7.536363,3
TCGA-A8-A07F-01,1.0542508,13.055939,0
TCGA-A7-A0CG-01,0.5333199,10.7169695,2
TCGA-BH-A0HQ-01,1.6925411,12.139594,0
TCGA-AO-A03O-01,5.199467,11.354538,1
TCGA-B6-A0IE-01,3.1842525,11.846633,1
TCGA-AN-A0FN-01,0.98090035,11.179123,2
TCGA-A8-A06X-01,4.952359,12.699852,0
TCGA-A8-A09Z-01,3.7754345,12.300202,0
TCGA-A8-A0A9-01,2.631992,13.016215,0
TCGA-A8-A09T-01,2.180928,13.0006695,0
TCGA-AO-A0J5-01,1.9423865,11.452045,2
TCGA-A8-A097-01,3.7916603,11.978016,1
TCGA-BH-A0B4-01,3.1379685,11.760578,1
TCGA-B6-A0I2-01,3.6321836,7.12696,3
TCGA-A8-A06P-01,2.1211035,12.45882,0
TCGA-A8-A08I-01,5.0216975,11.117418,1
TCGA-A8-A084-01,3.0309577,11.189885,1
TCGA-A8-A093-01,1.3823267,13.73762,0
TCGA-AN-A0FJ-01,3.5696416,6.0860176,3
TCGA-A8-A07R-01,4.0338764,6.119331,3
TCGA-A8-A085-01,4.4028344,13.308033,0
TCGA-AN-A0AR-01,4.597955,6.226608,3
TCGA-A8-A08F-01,4.9319983,11.351938,1
TCGA-A8-A07O-01,3.6081715,6.6621313,3
TCGA-AN-A0AK-01,4.914215,12.633018,0
TCGA-AN-A0FF-01,2.5272827,13.861412,0
TCGA-A8-A099-01,2.7361934,14.235186,0
TCGA-AO-A03R-01,4.795595,9.824515,1
TCGA-A2-A0D0-01,3.7851672,6.215584,3
TCGA-AN-A0FE-01,4.520823,10.454901,1
TCGA-A8-A096-01,1.4445955,12.624207,0
TCGA-AN-A041-01,3.462118,12.307602,1
TCGA-A7-A0CD-01,3.3633246,14.140931,0
TCGA-A8-A095-01,0.75867146,13.088991,0
TCGA-A8-A08H-01,0.9379266,9.857511,2
TCGA-B6-A0IJ-01,3.3892057,7.1592913,3
TCGA-AN-A0AS-01,3.1709335,10.931455,1
TCGA-A2-A0EY-01,3.7198043,11.013832,1
TCGA-BH-A0HO-01,2.1459506,14.500347,0
TCGA-A8-A06Z-01,3.963723,13.4031105,0
TCGA-AN-A04C-01,3.955537,10.106549,1
TCGA-A8-A06O-01,5.0709305,11.68545,1
TCGA-A8-A08Z-01,1.0023607,11.302999,2
TCGA-BH-A0BD-01,1.5198582,11.994948,2
TCGA-A8-A07C-01,4.3142986,6.25366,3
TCGA-A8-A079-01,4.6292577,12.419913,0
TCGA-A2-A04Y-01,4.7283115,9.689642,1
TCGA-AO-A0J4-01,2.988528,6.483017,3
TCGA-AN-A03X-01,2.1075883,11.527274,2
TCGA-A8-A07J-01,1.1863258,11.514712,2
TCGA-AO-A0J3-01,4.591932,14.340646,0
